09/08/2016 00:14:03: Carregando dados de mysql.
09/08/2016 00:14:03: ID: #artemis#
09/08/2016 00:14:03: Name: Canal 1
09/08/2016 00:14:03: Discovery: Elysium Diamond #1.0.0
09/08/2016 00:14:03: IP: 127.0.0.1
09/08/2016 00:14:03: Port: 10120
09/08/2016 00:14:03: MaximumConnections: 2000
09/08/2016 00:14:03: Logs: True
09/08/2016 00:14:03: ClientSerial: #elysium#
09/08/2016 00:14:03: Sleep: 1
09/08/2016 00:14:03: TestServer: False
09/08/2016 00:14:03: WorldServer 1 ID: Artemis
09/08/2016 00:14:03: WorldServer 2 ID: 
09/08/2016 00:14:03: WorldServer 3 ID: 
09/08/2016 00:14:03: WorldServer 4 ID: 
09/08/2016 00:14:03: WorldServer 5 ID: 
09/08/2016 00:14:03: Connectado ao banco de dados
09/08/2016 00:14:03: Carregando experiência
09/08/2016 00:14:03: Exp Máximo: 121 22353256174
09/08/2016 00:14:03: Carregando guilds.
09/08/2016 00:14:03: Carregando membros.
09/08/2016 00:14:03: Carregando classes
09/08/2016 00:14:03: Carregando NPC
09/08/2016 00:14:04: Servidor iniciado
09/08/2016 00:14:04: Status changed to connected: 127.0.0.1
09/08/2016 00:14:29: Data From World Server ID: 1 Account: akaruz Char ID: 1 Slot: 0 AD42490A66D98128
09/08/2016 00:14:30: Status changed to connected: 127.0.0.1
09/08/2016 00:14:30: Received From Client: AD42490A66D98128
09/08/2016 00:14:30: Player Found ID: 1 Name: Joanlac
09/08/2016 00:16:27: Joanlac Dir: 1 X: 3 Y: 2
09/08/2016 00:16:28: Joanlac Dir: 7 X: 2 Y: 2
09/08/2016 00:16:28: Joanlac Dir: 1 X: 2 Y: 1
09/08/2016 00:16:28: Joanlac Dir: 7 X: 1 Y: 1
09/08/2016 00:16:29: Joanlac Dir: 1 X: 1 Y: 0
09/08/2016 00:16:29: Joanlac Dir: 7 X: 0 Y: 0
09/08/2016 00:16:57: ID: 10 sacizenta Status changed to disconnected: 127.0.0.1
09/08/2016 00:16:57: ID: 1 Joanlac Status changed to disconnected: 127.0.0.1
09/08/2016 00:29:38: Carregando dados de mysql.
09/08/2016 00:29:38: ID: #artemis#
09/08/2016 00:29:38: Name: Canal 1
09/08/2016 00:29:38: Discovery: Elysium Diamond #1.0.0
09/08/2016 00:29:38: IP: 127.0.0.1
09/08/2016 00:29:38: Port: 10120
09/08/2016 00:29:38: MaximumConnections: 2000
09/08/2016 00:29:38: Logs: True
09/08/2016 00:29:38: ClientSerial: #elysium#
09/08/2016 00:29:38: Sleep: 1
09/08/2016 00:29:38: TestServer: False
09/08/2016 00:29:38: WorldServer 1 ID: Artemis
09/08/2016 00:29:38: WorldServer 2 ID: 
09/08/2016 00:29:38: WorldServer 3 ID: 
09/08/2016 00:29:38: WorldServer 4 ID: 
09/08/2016 00:29:38: WorldServer 5 ID: 
09/08/2016 00:29:38: Connectado ao banco de dados
09/08/2016 00:29:38: Carregando experiência
